"myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
0.952,2.43819513970815,0.904,3.51959359812742,1,0.689,"0","STMN2"
0.945,2.19867769590757,0.89,3.17403447990307,1,0.954,"0","DCX"
0.942,2.00282702038012,0.884,2.89334039590321,1,0.928,"0","MLLT11"
0.933,2.20464855788984,0.866,3.18129838894802,1,1,"0","SOX4"
0.916,2.2264471039564,0.832,3.21774188155054,0.935,0.367,"0","MYT1L"
0.903,2.04106353569858,0.806,2.9668268307952,1,0.805,"0","KIF5A"
0.898,2.72804000598595,0.796,3.94330155961599,0.961,0.529,"0","GAP43"
0.893,2.71968078102414,0.786,3.97361893042926,0.883,0.186,"0","HMP19"
0.89,2.14219537827251,0.78,3.09960993535054,0.922,0.325,"0","NRXN1"
0.884,2.83074518703028,0.768,4.09086182009533,0.909,0.422,"0","RTN1"
0.853,2.94759940605322,0.706,4.65645821638031,0.805,0.172,"0","RAB3A"
0.844,1.1411068872828,0.688,1.64643067640586,1,1,"0","MAP1B"
0.844,2.91225722822068,0.688,4.34442696184283,0.857,0.29,"0","MAPT"
0.84,1.54111269741425,0.68,2.22495795559569,1,0.947,"0","MAP2"
0.839,1.77352237436012,0.678,2.56319634363401,1,0.77,"0","SYT1"
0.838,2.27197605357307,0.676,3.28535229860824,1,0.8,"0","RBFOX2"
0.833,1.42333358012479,0.666,2.0563303552237,1,0.954,"0","CXADR"
0.832,1.26835243435868,0.664,1.82986665406714,1,1,"0","TUBA1A"
0.83,2.9169479242803,0.66,4.2882637163403,0.766,0.206,"0","SCN2A"
0.829,1.37967104024463,0.658,1.99069175114816,1,0.993,"0","TMSB10"
0.826,2.08710209819267,0.652,3.02035262387153,0.922,0.555,"0","ELAVL4"
0.825,1.98723811288608,0.65,2.97221482068521,0.844,0.292,"0","CDK5R1"
0.818,0.81846374739112,0.636,1.35449833143561,0.883,0.371,"0","ELAVL3"
0.817,2.87599070725358,0.634,4.31884487522144,0.805,0.285,"0","SCN3A"
0.817,1.39242814609171,0.634,2.01624641121607,1,0.893,"0","KIDINS220"
0.814,2.25396876045283,0.628,3.30040184561107,0.922,0.587,"0","AMER2"
0.813,2.0750722618917,0.626,3.06134158552922,0.792,0.239,"0","INA"
0.811,2.76068814199945,0.622,3.99103158382354,0.779,0.297,"0","GRIA2"
0.811,1.80507313033507,0.622,2.7523171286536,0.74,0.172,"0","SRRM4"
0.81,1.18065152028116,0.62,1.70925347534566,0.974,0.629,"0","ANK3"
0.808,2.55224531671004,0.616,3.75642967843491,0.909,0.499,"0","GNAO1"
0.805,2.16238681647094,0.61,3.50286509865812,0.805,0.292,"0","KIF21B"
0.804,1.22134466687629,0.608,1.77633260393189,0.87,0.427,"0","SCG3"
0.804,1.60914773746192,0.608,2.42651855602117,0.805,0.285,"0","UNC79"
0.801,2.2457351018416,0.602,3.30446439521252,0.792,0.285,"0","CELF4"
0.798,1.62410809092019,0.596,2.34476884704812,1,0.977,"0","TUBB2A"
0.793,1.73675475375044,0.586,2.51543116933187,0.87,0.552,"0","RUNX1T1"
0.791,1.23370838444231,0.582,1.78022735175434,1,0.995,"0","NREP"
0.791,1.15042100857769,0.582,1.66767992232584,0.883,0.459,"0","DCC"
0.79,2.02886848806581,0.58,2.94743670510973,0.779,0.288,"0","SNAP25"
0.79,1.5015474281413,0.58,2.17195377094073,0.974,0.896,"0","FNBP1L"
0.789,2.59447680904324,0.578,3.80810688014115,0.714,0.174,"0","PHACTR3"
0.788,1.5801138488879,0.576,2.2819314864958,1,0.903,"0","TUBB3.1"
0.784,2.26829620544315,0.568,3.47890419572323,0.688,0.16,"0","NMNAT2"
0.779,1.63996610475931,0.558,2.71319988033241,0.675,0.162,"0","GRIN2B"
0.776,1.32667808753778,0.552,1.91920998242303,1,0.986,"0","NUDT3"
0.772,1.18508453542358,0.544,1.71043196254089,1,0.972,"0","AKAP9"
