"","orig.ident","nCount_RNA","nFeature_RNA","tissue","stage","gsm","source","sample_type","region_group","RNA_snn_res.0.1","seurat_clusters","RNA_snn_res.0.2","RNA_snn_res.0.3","RNA_snn_res.0.4","RNA_snn_res.0.5","RNA_snn_res.0.6","RNA_snn_res.0.7","RNA_snn_res.0.8","RNA_snn_res.0.9","RNA_snn_res.1","RNA_snn_res.1.1","RNA_snn_res.1.2","RNA_snn_res.1.3","RNA_snn_res.1.4","RNA_snn_res.1.5","RNA_snn_res.1.6","RNA_snn_res.1.7","RNA_snn_res.1.8","RNA_snn_res.1.9","RNA_snn_res.2","RNA_snn_res.2.1","RNA_snn_res.2.2","RNA_snn_res.2.3","RNA_snn_res.2.4","RNA_snn_res.2.5","RNA_snn_res.2.6","RNA_snn_res.2.7","RNA_snn_res.2.8","RNA_snn_res.2.9","RNA_snn_res.3"
"SRR2967100","Camp2015",530922.766125041,6936,"Dissociated whole cerebral organoid","33 days","GSM1957048","iPSC 409B2","organoid",NA,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","2","2","2","1","1","1","1","1","1","1","1","1","0","0","0","0"
"SRR2967101","Camp2015",348047.627689371,10010,"Dissociated whole cerebral organoid","33 days","GSM1957049","iPSC 409B2","organoid",NA,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","2","2","2","1","1","1","1","1","1","1","1","1","0","0","0","0"
"SRR2967102","Camp2015",442916.704728188,10231,"Dissociated whole cerebral organoid","33 days","GSM1957050","iPSC 409B2","organoid",NA,"1","2","1","1","1","0","0","0","0","0","0","3","3","3","3","3","3","3","2","2","2","2","2","10","10","9","9","10","10","10","10"
"SRR2967103","Camp2015",498148.732394084,7773,"Dissociated whole cerebral organoid","33 days","GSM1957051","iPSC 409B2","organoid",NA,"1","9","1","1","1","0","0","0","0","0","0","0","0","0","6","8","8","8","9","9","9","9","9","9","9","8","7","8","8","8","7"
"SRR2967104","Camp2015",592862.528541929,7739,"Dissociated whole cerebral organoid","33 days","GSM1957052","iPSC 409B2","organoid",NA,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","2","2","2","1","1","1","1","1","1","1","1","1","0","0","0","0"
"SRR2967105","Camp2015",474315.1199093,10108,"Dissociated whole cerebral organoid","33 days","GSM1957053","iPSC 409B2","organoid",NA,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","2","2","2","1","1","1","1","1","1","1","1","1","0","0","0","0"
"SRR2967106","Camp2015",604506.048953323,8498,"Dissociated whole cerebral organoid","33 days","GSM1957054","iPSC 409B2","organoid",NA,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","2","2","2","1","1","1","1","1","1","1","1","1","0","0","0","0"
"SRR2967107","Camp2015",337643.991833481,8054,"Dissociated whole cerebral organoid","33 days","GSM1957055","iPSC 409B2","organoid",NA,"2","7","0","0","0","2","2","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967108","Camp2015",495091.867027493,8292,"Dissociated whole cerebral organoid","33 days","GSM1957056","iPSC 409B2","organoid",NA,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","2","2","2","1","1","1","1","1","1","1","1","1","0","0","0","0"
"SRR2967109","Camp2015",422743.802310625,8512,"Dissociated whole cerebral organoid","33 days","GSM1957057","iPSC 409B2","organoid",NA,"1","9","1","1","1","0","0","0","0","0","0","0","0","0","6","8","8","8","9","9","9","9","9","9","9","8","7","8","8","8","7"
