"myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
0.952,2.43819513970815,0.904,3.51959359812742,1,0.689,"0","STMN2"
0.945,2.19867769590757,0.89,3.17403447990307,1,0.954,"0","DCX"
0.942,2.00282702038012,0.884,2.89334039590321,1,0.928,"0","MLLT11"
0.933,2.20464855788984,0.866,3.18129838894802,1,1,"0","SOX4"
0.916,2.2264471039564,0.832,3.21774188155054,0.935,0.367,"0","MYT1L"
0.903,2.04106353569858,0.806,2.9668268307952,1,0.805,"0","KIF5A"
0.898,2.72804000598595,0.796,3.94330155961599,0.961,0.529,"0","GAP43"
0.893,2.71968078102414,0.786,3.97361893042926,0.883,0.186,"0","HMP19"
0.89,2.14219537827251,0.78,3.09960993535054,0.922,0.325,"0","NRXN1"
0.884,2.83074518703028,0.768,4.09086182009533,0.909,0.422,"0","RTN1"
0.934,1.88923148517921,0.868,2.75953136123313,1,0.716,"1","RPL41P2"
0.903,1.05280544297752,0.806,1.97628279323684,1,0.702,"1","HNRNPA1P8"
0.9,1.44001407874166,0.8,2.16452576909846,1,0.959,"1","TUBAP2"
0.896,1.05736248958929,0.792,1.87296235986163,1,0.845,"1","HNRNPA1P4"
0.894,0.866067437214537,0.788,1.89044869433559,1,0.725,"1","EEF1A1P12"
0.885,0.831994331898861,0.77,1.50076090501256,0.985,0.575,"1","RPS3AP25"
0.885,0.905451011526927,0.77,1.3278246494993,1,0.945,"1","AC004069.2"
0.876,1.28267291461207,0.752,1.9424276994764,1,0.793,"1","RP11-203F10.6"
0.875,1.47867040142689,0.75,2.61842637165701,0.912,0.205,"1","RPS20P35"
0.874,1.17793820683427,0.748,1.77114382584418,1,0.616,"1","MTRNR2L1"
0.867,1.2803532404816,0.734,1.88382267489802,0.968,0.357,"2","LRP2"
0.867,1.1836575188773,0.734,1.76427560348311,1,0.973,"2","PTMAP5"
0.853,1.58372266288243,0.706,2.28714405017029,1,0.69,"2","BCAT1"
0.852,1.36688009806737,0.704,1.97322193603218,1,0.874,"2","RBBP7"
0.849,0.963385912762665,0.698,2.53427419397278,0.937,0.378,"2","HSP90AB2P"
0.848,1.17857327679436,0.696,1.7004040233624,1,0.989,"2","H2AFZ"
0.848,1.76808932732311,0.696,2.55103267462342,1,0.933,"2","SNRPE"
0.847,1.29906773203728,0.694,1.87516671515164,1,0.901,"2","SMS"
0.846,0.926450672542242,0.692,1.34152989580676,1,0.975,"2","RPL21P119"
0.842,1.54631771292351,0.684,2.23157588831871,1,0.973,"2","PTGES3"
0.995,7.29427196504672,0.99,10.6904856578234,1,0.285,"3","COL3A1"
0.995,4.96891563665614,0.99,7.20247962153155,1,0.069,"3","S100A11"
0.989,7.30272411950846,0.978,10.5757377972913,1,0.257,"3","DCN"
0.981,6.21038442602001,0.962,8.96806437502184,1,0.363,"3","LUM"
0.977,5.47905154271201,0.954,7.95657339285265,0.982,0.131,"3","MFAP4"
0.977,7.82619606267811,0.954,12.3831948221418,0.982,0.131,"3","POSTN"
0.976,4.3517169520044,0.952,6.29525977681715,0.982,0.279,"3","COL1A2"
0.972,5.78997584902952,0.944,8.6269838693465,0.982,0.361,"3","COL1A1"
0.964,3.46880183853317,0.928,5.13960849709609,0.982,0.168,"3","DDR2"
0.96,4.02205039151389,0.92,6.24934801483632,0.964,0.131,"3","BNC2"
0.79,1.56911932027552,0.58,2.26463266671284,0.944,0.769,"4","FABP7"
0.779,1.35203892157115,0.558,1.96193593668885,0.963,0.808,"4","GLI3"
0.765,1.54989034507852,0.53,2.23950986080045,0.944,0.714,"4","CREB5"
0.753,1.34867541208071,0.506,1.94592806342542,0.852,0.67,"4","C1orf61"
0.746,1.3211183865715,0.492,1.90972259312517,0.963,0.782,"4","SFRP1"
0.745,0.641436228164742,0.49,0.996594615538315,1,0.998,"4","FRMD6-AS1"
